,Z-Score Outliers,IQR Outliers
Age,27,8
OVA,48,156
POT,55,153
Height,22,22
Weight,54,74
BOV,56,137
Value,367,2297
Wage,338,2356
Attacking,0,2016
Crossing,0,0
Finishing,0,0
Heading Accuracy,0,1108
Short Passing,104,1748
Volleys,0,0
Skill,0,1233
Dribbling,0,1962
Curve,0,0
FK Accuracy,0,3
Long Passing,1,20
Ball Control,4,2053
Movement,108,667
Acceleration,133,782
Sprint Speed,153,710
Agility,8,228
Reactions,79,181
Balance,32,269
Power,13,59
Shot Power,0,0
Jumping,19,412
Stamina,9,878
Strength,18,133
Long Shots,0,0
Mentality,7,1493
Aggression,0,0
Interceptions,0,0
Positioning,0,11
Vision,28,71
Penalties,0,11
Composure,66,184
Defending,0,0
Marking,0,0
Standing Tackle,0,0
Sliding Tackle,0,0
Goalkeeping,657,2181
GK Diving,587,2085
GK Handling,620,2085
GK Kicking,598,2089
GK Positioning,628,2086
GK Reflexes,600,2085
Total Stats,7,620
Base Stats,16,48
IR,332,1350
PAC,190,334
SHO,0,0
PAS,36,181
DRI,117,441
DEF,0,0
PHY,34,117
